track_name,popularity,duration_min,explicit,track_number,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo,key,mode,time_signature
Welcome To New York (Taylor's Version),70,3.54,False,1,,,,,,,,,,,
Blank Space (Taylor's Version),76,3.86,False,2,,,,,,,,,,,
Style (Taylor's Version),78,3.85,False,3,,,,,,,,,,,
Out Of The Woods (Taylor's Version),73,3.93,False,4,,,,,,,,,,,
All You Had To Do Was Stay (Taylor's Version),69,3.22,False,5,,,,,,,,,,,
Shake It Off (Taylor's Version),73,3.65,False,6,,,,,,,,,,,
I Wish You Would (Taylor's Version),67,3.46,False,7,,,,,,,,,,,
Bad Blood (Taylor's Version),69,3.52,False,8,,,,,,,,,,,
Wildest Dreams (Taylor's Version),78,3.67,False,9,,,,,,,,,,,
How You Get The Girl (Taylor's Version),67,4.13,False,10,,,,,,,,,,,
This Love (Taylorâ€™s Version),70,4.17,False,11,,,,,,,,,,,
I Know Places (Taylor's Version),67,3.26,False,12,,,,,,,,,,,
Clean (Taylor's Version),72,4.52,False,13,,,,,,,,,,,
Wonderland (Taylor's Version),68,4.09,False,14,,,,,,,,,,,
You Are In Love (Taylor's Version),71,4.46,False,15,,,,,,,,,,,
New Romantics (Taylor's Version),73,3.84,False,16,,,,,,,,,,,
"""Slut!"" (Taylor's Version) (From The Vault)",77,3.01,False,17,,,,,,,,,,,
Say Don't Go (Taylor's Version) (From The Vault),73,4.66,False,18,,,,,,,,,,,
Now That We Don't Talk (Taylor's Version) (From The Vault),76,2.44,False,19,,,,,,,,,,,
Suburban Legends (Taylor's Version) (From The Vault),69,2.86,False,20,,,,,,,,,,,
Is It Over Now? (Taylor's Version) (From The Vault),76,3.82,False,21,,,,,,,,,,,
